iter	RMSE
0	87847.2985
1	85410.50475
2	83057.18989
3	80843.85507
4	78765.84371
5	76768.11063
6	74862.61754
7	73086.26924
8	71366.14122
9	69748.76422
10	68271.59052
11	66806.23788
12	65433.222
13	64108.82133
14	62856.64046
15	61696.02838
16	60476.73012
17	59420.25744
18	58424.20002
19	57480.53316
20	56582.88022
21	55734.63832
22	54961.12725
23	54239.26702
24	53512.62425
25	52842.74987
26	52130.29392
27	51535.2195
28	50824.63504
29	50303.13256
30	49711.60958
31	49237.32386
32	48658.08337
33	48193.60298
34	47672.58063
35	47199.73553
36	46712.79488
37	46254.0603
38	45826.71159
39	45464.27415
40	45125.41176
41	44782.75454
42	44458.17864
43	44158.8021
44	43842.25614
45	43572.285
46	43290.10143
47	43049.97698
48	42797.03163
49	42557.62453
50	42327.29082
51	42121.6647
52	41916.38248
53	41711.62909
54	41509.70492
55	41345.38223
56	41167.3671
57	40994.44973
58	40821.65475
59	40650.00414
60	40458.35641
61	40314.78081
62	40174.91294
63	40040.68546
64	39902.03836
65	39785.4103
66	39645.34863
67	39539.20426
68	39449.15967
69	39341.09102
70	39246.87484
71	39141.86404
72	39044.85999
73	38938.17757
74	38854.14814
75	38763.68265
76	38691.80606
77	38584.34479
78	38505.98737
79	38432.18503
80	38356.20628
81	38299.39098
82	38229.54355
83	38172.003
84	38100.90981
85	38040.89515
86	37964.54356
87	37908.13637
88	37834.16406
89	37741.30271
90	37674.01613
91	37621.46884
92	37544.6373
93	37495.38691
94	37431.56684
95	37399.73603
96	37331.87136
97	37261.38632
98	37223.48592
99	37155.06172
100	37108.29888
101	37048.64987
102	37007.56898
103	36967.32964
104	36916.84904
105	36862.82707
106	36819.18534
107	36776.53869
108	36747.43591
109	36713.76524
110	36678.31238
111	36629.62991
112	36589.98438
113	36547.02696
114	36508.08132
115	36452.43393
116	36416.32671
117	36371.78354
118	36332.19599
119	36301.58753
120	36261.76374
121	36237.09954
122	36187.41467
123	36159.25334
124	36110.65707
125	36085.75556
126	36029.39515
127	35994.19073
128	35971.46796
129	35926.53127
130	35890.59439
131	35834.22196
132	35815.17427
133	35758.59777
134	35728.90865
135	35691.58814
136	35661.42871
137	35622.02741
138	35601.30471
139	35565.18247
140	35534.50369
141	35500.83499
142	35472.53677
143	35429.24506
144	35408.42004
145	35355.6445
146	35326.52338
147	35299.37524
148	35258.69517
149	35232.70122
150	35195.83409
151	35154.15938
152	35130.40554
153	35115.31153
154	35096.87591
155	35058.22278
156	35027.47779
157	34993.30802
158	34969.90417
159	34939.62176
160	34916.36462
161	34892.36805
162	34859.0682
163	34843.72421
164	34809.01241
165	34792.97504
166	34771.38899
167	34747.66445
168	34727.58885
169	34694.80863
170	34676.84054
171	34633.82037
172	34606.32171
173	34583.88167
174	34565.66267
175	34540.82223
176	34514.68713
177	34495.59458
178	34463.16608
179	34441.10585
180	34413.21742
181	34397.49409
182	34371.74082
183	34341.2043
184	34326.64644
185	34304.93814
186	34282.03432
187	34255.3563
188	34235.06674
189	34212.39104
190	34206.06619
191	34194.57564
192	34159.26106
193	34136.29126
194	34115.77313
195	34090.17032
196	34078.06006
197	34054.37714
198	34036.89996
199	34013.23625
200	33996.42741
201	33970.87589
202	33932.66494
203	33920.76505
204	33904.24039
205	33887.94916
206	33866.55936
207	33845.11152
208	33817.33694
209	33803.41024
210	33766.80021
211	33751.40176
212	33727.63278
213	33709.11649
214	33689.22487
215	33670.31203
216	33657.51738
217	33620.74112
218	33597.00616
219	33580.96886
220	33564.15544
221	33549.07898
222	33536.07194
223	33520.63443
224	33506.08858
225	33477.2781
226	33449.87015
227	33423.8084
228	33392.04886
229	33365.18255
230	33355.81958
231	33341.10587
232	33308.31885
233	33279.62193
234	33260.04611
235	33246.81177
236	33232.07199
237	33218.27879
238	33196.90796
239	33179.0009
240	33164.70397
241	33147.25507
242	33136.54781
243	33118.01104
244	33104.9256
245	33094.64232
246	33069.81127
247	33053.5107
248	33038.22411
249	33009.95434
250	32981.28025
251	32967.90192
252	32958.62055
253	32945.67522
254	32935.09674
255	32924.64939
256	32905.12043
257	32886.06261
258	32869.70128
259	32852.81147
260	32828.84265
261	32815.02429
262	32785.10133
263	32765.67158
264	32752.97944
265	32732.7128
266	32711.58906
267	32699.73172
268	32685.59026
269	32667.88985
270	32660.37665
271	32647.53337
272	32637.0902
273	32622.00368
274	32608.21239
275	32594.243
276	32576.8805
277	32562.59197
278	32551.76115
279	32529.43385
280	32510.58223
281	32502.23579
282	32491.91026
283	32475.28746
284	32455.53106
285	32443.72268
286	32413.57504
287	32397.94612
288	32382.12675
289	32355.09721
290	32339.66839
291	32331.89128
292	32318.91028
293	32304.32966
294	32289.63732
295	32268.13263
296	32256.42834
297	32245.50973
298	32226.02454
299	32208.22229
300	32191.0316
301	32176.25763
302	32165.93961
303	32156.07232
304	32133.46105
305	32116.15721
306	32103.10261
307	32086.73926
308	32078.41147
309	32064.25114
310	32052.55883
311	32044.15761
312	32028.88665
313	32018.25951
314	32009.05607
315	32001.40595
316	31989.19731
317	31978.30658
318	31970.20594
319	31952.20822
320	31932.77586
321	31920.40936
322	31898.93643
323	31884.56832
324	31865.74558
325	31855.08945
326	31835.97147
327	31828.45534
328	31817.78939
329	31808.10448
330	31783.16182
331	31769.05634
332	31754.36089
333	31742.10549
334	31733.02566
335	31724.93019
336	31715.18055
337	31706.95067
338	31693.71034
339	31681.43509
340	31673.1008
341	31656.63284
342	31647.90165
343	31635.61515
344	31616.17868
345	31598.86552
346	31577.10683
347	31564.79623
348	31557.32436
349	31540.28287
350	31517.23335
351	31504.44081
352	31495.88864
353	31487.10447
354	31475.72729
355	31465.89658
356	31442.29607
357	31433.53164
358	31416.82357
359	31408.91398
360	31397.88499
361	31386.69424
362	31369.06004
363	31363.43533
364	31350.51146
365	31341.337
366	31330.18231
367	31324.23966
368	31313.42552
369	31295.40192
370	31284.18205
371	31264.20445
372	31244.2053
373	31234.33128
374	31219.52511
375	31204.73219
376	31192.61221
377	31185.22715
378	31176.43518
379	31166.34942
380	31157.41553
381	31144.84671
382	31130.26914
383	31119.31429
384	31109.70394
385	31103.57197
386	31095.58486
387	31082.24117
388	31075.47978
389	31061.37963
390	31059.99501
391	31053.12774
392	31044.63962
393	31036.58325
394	31025.06321
395	31015.63949
396	31006.329
397	30994.98332
398	30978.92401
399	30970.07675
400	30957.68469
401	30940.30821
402	30933.53105
403	30922.10505
404	30911.46772
405	30885.61865
406	30878.19236
407	30867.51095
408	30852.93336
409	30836.54148
410	30829.18206
411	30820.09699
412	30813.0702
413	30795.68047
414	30787.69146
415	30779.27114
416	30764.45432
417	30751.52051
418	30745.47713
419	30731.75405
420	30724.15535
421	30718.12842
422	30711.33836
423	30696.03722
424	30683.32596
425	30669.37868
426	30661.70913
427	30652.15734
428	30645.8444
429	30638.64784
430	30621.30229
431	30610.86303
432	30602.22994
433	30588.09023
434	30586.82968
435	30581.00311
436	30562.19369
437	30548.88841
438	30539.25368
439	30526.84544
440	30521.86619
441	30513.69417
442	30508.90444
443	30500.2488
444	30493.89836
445	30486.77682
446	30480.57613
447	30468.33352
448	30467.16033
449	30456.39785
450	30448.38545
451	30441.99465
452	30434.68727
453	30423.37636
454	30421.76525
455	30412.89925
456	30402.34336
457	30395.52712
458	30394.48484
459	30382.67961
460	30373.54659
461	30366.39788
462	30358.29154
463	30355.06461
464	30346.85557
465	30339.0589
466	30332.56525
467	30321.08113
468	30312.99737
469	30305.54184
470	30293.73199
471	30291.37034
472	30283.09238
473	30275.47147
474	30265.02435
475	30245.9668
476	30236.73877
477	30227.6546
478	30221.62431
479	30212.326
480	30206.70434
481	30195.76985
482	30187.29171
483	30174.21911
484	30172.37326
485	30153.96788
486	30146.96539
487	30138.5547
488	30129.78755
489	30121.01798
490	30113.36696
491	30101.38684
492	30091.01718
493	30084.13782
494	30077.77608
495	30072.58865
496	30063.40556
497	30055.15116
498	30044.19234
499	30036.53064
500	30016.18863
501	30006.76457
502	29996.02895
503	29989.44777
504	29975.1294
505	29968.06844
506	29959.30071
507	29952.65225
508	29944.98968
509	29937.19305
510	29930.99093
511	29923.81595
512	29917.41646
513	29907.1271
514	29901.89531
515	29896.45917
516	29886.43373
517	29880.70974
518	29869.6444
519	29861.30094
520	29856.39207
521	29848.16078
522	29842.5413
523	29834.92192
524	29824.92356
525	29809.12967
526	29801.75815
527	29794.45712
528	29785.64094
529	29774.79372
530	29766.01149
531	29750.18025
532	29744.16802
533	29735.34022
534	29721.83747
535	29714.42692
536	29708.36334
537	29700.96798
538	29694.72191
539	29688.18096
540	29683.62531
541	29670.80993
542	29665.10211
543	29659.64107
544	29654.31971
545	29647.34079
546	29639.98589
547	29632.0239
548	29624.78036
549	29611.64744
550	29606.45825
551	29596.69016
552	29587.08691
553	29575.66551
554	29572.08904
555	29565.65731
556	29557.60736
557	29553.02283
558	29548.95406
559	29539.57432
560	29534.01924
561	29529.23382
562	29524.09018
563	29515.68488
564	29510.70011
565	29501.52716
566	29489.41703
567	29484.93828
568	29480.91681
569	29472.21552
570	29466.86745
571	29462.15154
572	29453.18264
573	29448.36562
574	29433.59793
575	29424.45497
576	29420.71443
577	29413.8942
578	29406.13314
579	29397.36474
580	29387.44243
581	29382.12955
582	29379.09483
583	29368.89344
584	29364.40803
585	29355.55271
586	29352.12711
587	29343.82994
588	29336.48964
589	29329.79576
590	29326.31187
591	29317.90414
592	29311.38009
593	29304.54786
594	29301.16269
595	29291.27813
596	29283.03994
597	29276.74882
598	29263.26523
599	29256.02069
600	29245.09636
601	29239.29899
602	29234.2835
603	29223.46625
604	29217.90798
605	29214.97058
606	29207.5781
607	29198.66837
608	29193.45296
609	29187.73883
610	29182.07455
611	29178.11139
612	29172.40384
613	29165.92818
614	29152.31939
615	29147.74679
616	29142.80975
617	29138.60746
618	29125.13509
619	29120.14504
620	29112.86111
621	29107.27304
622	29102.71974
623	29091.99704
624	29086.2228
625	29083.29247
626	29073.7521
627	29069.14626
628	29063.11054
629	29050.99831
630	29042.7144
631	29036.93384
632	29029.11273
633	29025.32596
634	29022.44667
635	29017.86702
636	29012.67869
637	29004.89462
638	28999.79363
639	28996.14143
640	28991.79242
641	28987.09447
642	28981.83722
643	28971.36944
644	28968.39987
645	28964.71877
646	28956.70973
647	28947.99203
648	28941.13889
649	28932.94189
650	28925.72544
651	28915.77331
652	28909.10351
653	28905.38683
654	28899.63109
655	28893.4766
656	28888.19829
657	28880.05644
658	28871.34983
659	28868.08335
660	28864.87467
661	28860.55854
662	28852.69675
663	28842.71111
664	28838.21171
665	28830.67072
666	28826.8885
667	28820.66239
668	28816.4906
669	28810.90018
670	28807.52075
671	28801.73231
672	28797.89186
673	28790.05259
674	28783.49114
675	28778.17653
676	28772.14235
677	28764.88763
678	28761.3652
679	28751.48979
680	28746.50744
681	28742.53127
682	28739.9045
683	28734.00281
684	28730.69616
685	28725.0246
686	28721.31256
687	28715.92561
688	28710.41491
689	28704.58652
690	28700.97192
691	28697.23265
692	28689.79201
693	28686.37042
694	28676.95788
695	28674.62782
696	28665.68659
697	28661.42385
698	28657.39714
699	28649.31733
700	28643.49008
701	28636.7453
702	28630.52021
703	28625.67657
704	28619.00543
705	28614.31631
706	28611.53915
707	28605.96838
708	28599.46019
709	28591.71763
710	28588.55037
711	28583.60319
712	28579.01084
713	28572.35207
714	28568.57839
715	28560.9674
716	28558.79927
717	28553.14527
718	28544.77436
719	28539.81494
720	28533.6852
721	28522.22672
722	28516.61801
723	28513.35066
724	28505.71504
725	28502.83708
726	28497.15615
727	28493.40459
728	28485.7246
729	28479.71075
730	28476.15011
731	28468.06629
732	28460.00368
733	28456.22953
734	28445.6605
735	28439.98982
736	28437.02054
737	28431.08935
738	28424.28536
739	28416.60655
740	28413.42834
741	28406.1846
742	28402.77646
743	28396.77286
744	28390.54998
745	28385.01351
746	28377.00046
747	28373.49671
748	28366.44484
749	28362.57516
750	28358.3537
751	28349.58921
752	28346.55995
753	28338.54769
754	28334.97171
755	28331.3317
756	28324.57895
757	28318.40779
758	28314.93126
759	28310.75733
760	28303.12894
761	28295.52978
762	28288.96117
763	28279.95718
764	28275.56973
765	28272.28467
766	28268.75261
767	28263.87168
768	28254.21001
769	28246.95827
770	28240.37773
771	28235.50665
772	28233.43216
773	28227.81373
774	28222.90632
775	28216.98023
776	28211.12697
777	28205.68109
778	28196.25298
779	28188.83644
780	28183.90026
781	28179.84108
782	28176.55147
783	28173.77274
784	28167.73181
785	28164.43248
786	28160.09924
787	28156.2676
788	28152.23309
789	28147.25934
790	28142.88273
791	28139.51077
