iter	Passed	Remaining
0	9	68145
1	19	69091
2	27	66209
3	33	60531
4	39	56256
5	46	55779
6	53	54774
7	61	55559
8	67	54275
9	74	53489
10	81	53092
11	87	52374
12	94	52459
13	100	51544
14	106	51135
15	113	50749
16	118	50118
17	126	50276
18	132	50255
19	139	50038
20	144	49473
21	150	48972
22	156	48948
23	162	48614
24	168	48226
25	175	48356
26	181	48113
27	187	48003
28	192	47694
29	198	47328
30	203	47135
31	209	46845
32	215	46721
33	221	46728
34	227	46578
35	235	46895
36	241	46838
37	248	46751
38	254	46718
39	261	46754
40	268	46956
41	274	46767
42	280	46632
43	285	46452
44	291	46289
45	297	46206
46	302	46015
47	307	45820
48	313	45749
49	319	45660
50	325	45564
51	331	45504
52	337	45511
53	343	45467
54	349	45461
55	355	45376
56	362	45443
57	369	45456
58	376	45559
59	383	45607
60	389	45599
61	397	45724
62	403	45725
63	411	45828
64	418	45966
65	427	46169
66	434	46282
67	442	46361
68	448	46365
69	455	46426
70	465	46699
71	473	46914
72	481	46969
73	487	46928
74	494	46945
75	503	47187
76	512	47388
77	519	47465
78	527	47581
79	535	47663
80	543	47745
81	550	47781
82	558	47923
83	566	47983
84	576	48212
85	586	48482
86	594	48616
87	604	48813
88	613	48976
89	625	49432
90	640	50015
91	651	50333
92	660	50471
93	669	50641
94	679	50820
95	689	51009
96	699	51234
97	710	51507
98	722	51781
99	737	52334
100	759	53394
101	782	54459
102	798	54982
103	809	55193
104	826	55851
105	842	56369
106	852	56532
107	865	56843
108	879	57176
109	890	57375
110	901	57581
111	914	57869
112	928	58193
113	939	58390
114	955	58843
115	986	60249
116	1006	60950
117	1092	65571
118	1111	66124
119	1134	66907
120	1150	67319
121	1168	67782
122	1186	68270
123	1205	68765
124	1227	69468
125	1244	69854
126	1258	70088
127	1272	70315
128	1292	70863
129	1304	70946
130	1314	70927
131	1327	71095
132	1338	71099
133	1350	71177
134	1359	71162
135	1371	71212
136	1381	71222
137	1392	71227
138	1403	71278
139	1414	71330
140	1425	71370
141	1437	71452
142	1448	71454
143	1461	71594
144	1471	71574
145	1481	71565
146	1491	71543
147	1501	71548
148	1513	71619
149	1523	71586
150	1533	71569
151	1543	71579
152	1553	71532
153	1562	71501
154	1571	71437
155	1582	71456
156	1594	71533
157	1604	71499
158	1616	71563
159	1626	71575
160	1635	71499
161	1646	71542
162	1660	71693
163	1671	71696
164	1683	71763
165	1694	71788
166	1707	71904
167	1724	72153
168	1737	72255
169	1749	72332
170	1772	72841
171	1785	72925
172	1795	72908
173	1805	72908
174	1817	72961
175	1833	73170
176	1850	73415
177	1876	74034
178	1893	74266
179	1908	74404
180	1921	74487
181	1932	74502
182	1942	74472
183	1954	74521
184	1976	74932
185	2012	75884
186	2049	76857
187	2070	77198
188	2083	77273
189	2098	77396
190	2103	77184
191	2115	77191
192	2125	77172
193	2136	77127
194	2146	77102
195	2158	77105
196	2168	77075
197	2178	77042
198	2190	77063
199	2202	77082
200	2213	77077
201	2223	77006
202	2233	76984
203	2244	76959
204	2253	76897
205	2262	76801
206	2270	76707
207	2279	76607
208	2289	76562
209	2297	76472
210	2306	76396
211	2314	76296
212	2323	76216
213	2332	76121
214	2342	76090
215	2351	76029
216	2360	75965
217	2372	75984
218	2382	75921
219	2390	75846
220	2400	75797
221	2409	75724
222	2418	75664
223	2429	75656
224	2438	75587
225	2449	75569
226	2458	75511
227	2468	75478
228	2477	75415
229	2487	75362
230	2496	75295
231	2505	75240
232	2516	75244
233	2525	75182
234	2534	75097
235	2542	75016
236	2550	74919
237	2559	74855
238	2567	74774
239	2577	74724
240	2585	74657
241	2595	74626
242	2604	74549
243	2613	74487
244	2620	74392
245	2629	74316
246	2638	74256
247	2647	74201
248	2657	74183
249	2667	74146
250	2677	74109
251	2685	74041
252	2694	73973
253	2703	73917
254	2712	73865
255	2721	73809
256	2729	73737
257	2739	73689
258	2747	73628
259	2756	73573
260	2765	73509
261	2774	73453
262	2785	73470
263	2794	73397
264	2803	73350
265	2812	73300
266	2821	73251
267	2829	73171
268	2838	73120
269	2846	73058
270	2854	72984
271	2863	72924
272	2871	72851
273	2880	72790
274	2888	72726
275	2896	72658
276	2904	72582
277	2913	72525
278	2927	72601
279	2936	72571
280	2946	72544
281	2955	72495
282	2967	72523
283	2979	72548
284	2991	72578
285	3009	72738
286	3019	72714
287	3029	72705
288	3041	72727
289	3053	72742
290	3064	72750
291	3075	72753
292	3087	72761
293	3099	72806
294	3111	72829
295	3124	72866
296	3140	72971
297	3152	73015
298	3163	73004
299	3172	72964
300	3182	72933
301	3193	72931
302	3203	72898
303	3213	72881
304	3223	72871
305	3235	72876
306	3244	72836
307	3254	72811
308	3262	72741
309	3272	72717
310	3284	72743
311	3297	72784
312	3308	72790
313	3320	72812
314	3332	72819
315	3342	72813
316	3355	72838
317	3367	72860
318	3379	72882
319	3392	72925
320	3407	73006
321	3422	73098
322	3434	73105
323	3445	73104
324	3457	73124
325	3466	73092
326	3476	73066
327	3486	73032
328	3496	73010
329	3507	73005
330	3517	72977
331	3528	72987
332	3540	72993
333	3553	73040
334	3568	73115
335	3579	73115
336	3593	73180
337	3608	73257
338	3620	73267
339	3631	73253
340	3642	73257
341	3655	73284
342	3665	73261
343	3676	73261
344	3688	73270
345	3701	73314
346	3711	73288
347	3720	73252
348	3730	73215
349	3740	73197
350	3750	73173
351	3760	73148
352	3771	73134
353	3781	73114
354	3790	73078
355	3801	73066
356	3811	73047
357	3821	73027
358	3834	73054
359	3845	73049
360	3857	73059
361	3867	73041
362	3877	73026
363	3889	73030
364	3899	73015
365	3909	72993
366	3919	72966
367	3930	72951
368	3940	72927
369	3949	72902
370	3961	72902
371	3970	72865
372	3979	72833
373	3999	72978
374	4012	73012
375	4023	73014
376	4034	73013
377	4045	72999
378	4055	72982
379	4066	72970
380	4076	72949
381	4087	72950
382	4098	72938
383	4109	72939
384	4121	72949
385	4133	72958
386	4144	72944
387	4154	72933
388	4164	72900
389	4174	72881
390	4181	72801
391	4191	72781
392	4201	72767
393	4210	72726
394	4221	72708
